age,gender,course,study_hours,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score
17,male,diploma,2.78,yes,7.4,poor,coaching,low,hard,58.9
23,other,bca,3.37,yes,4.6,average,online videos,medium,moderate,54.8
22,male,b.sc,7.88,yes,8.5,poor,coaching,high,moderate,90.3
20,other,diploma,0.67,yes,5.8,average,online videos,low,moderate,29.7
20,female,diploma,0.89,yes,9.8,poor,coaching,low,moderate,43.7
23,male,b.tech,3.48,yes,4.2,good,mixed,low,moderate,58.2
17,female,b.tech,1.35,yes,7.4,average,online videos,high,hard,53.7
22,male,b.sc,5.48,yes,8.2,poor,self-study,low,moderate,47.3
18,other,bca,2.89,yes,6.6,poor,self-study,low,easy,44.9
17,male,bba,6.77,yes,9.8,average,group study,high,moderate,77.7
21,female,ba,5.99,yes,5.8,average,self-study,medium,easy,63.2
24,male,b.com,3.77,no,4.1,poor,online videos,medium,easy,53.5
22,female,ba,6.76,yes,8.1,good,self-study,medium,hard,63.9
23,female,bba,0.81,yes,7.1,poor,online videos,medium,moderate,34.1
22,male,b.tech,4.65,yes,7.7,good,group study,high,moderate,83.5
23,other,bba,4.84,yes,7.3,average,coaching,high,moderate,98.5
21,male,b.sc,1.97,yes,8.3,average,self-study,medium,moderate,70.3
18,male,bca,0.4,yes,6.8,poor,self-study,medium,moderate,32.3
23,female,b.sc,4.28,yes,4.4,average,mixed,low,moderate,56.2
20,male,b.tech,4.11,yes,4.3,poor,coaching,high,moderate,49.3
21,female,ba,5.23,yes,4.2,poor,coaching,medium,easy,68.1
19,other,ba,1.7,yes,9.8,good,mixed,low,easy,52.1
18,male,ba,1.44,yes,9.7,average,group study,medium,easy,47.1
24,female,diploma,7.82,yes,6.3,good,self-study,low,easy,84.8
23,male,bba,0.91,yes,8,average,coaching,low,moderate,68.9
22,male,b.com,7.91,yes,4.3,good,group study,low,moderate,76.3
20,male,bca,5.76,no,8.2,average,self-study,low,easy,71.6
23,male,ba,05.03,yes,6.7,poor,mixed,high,hard,74.1
21,female,b.sc,2.72,yes,7,good,online videos,medium,moderate,56.6
20,other,b.tech,6.94,yes,4.6,good,group study,medium,moderate,49.2
20,other,b.tech,7.28,yes,6.3,poor,mixed,high,easy,97.5
18,male,b.sc,5.78,yes,5.1,good,self-study,high,easy,81.8
17,other,bca,5.68,yes,4.1,good,self-study,high,moderate,65.6
21,female,ba,3.95,no,6.5,poor,online videos,high,hard,71.1
24,female,ba,0.62,yes,4.6,good,group study,high,easy,60.3
17,other,b.com,7.91,yes,5.1,average,online videos,high,moderate,81.3
23,female,b.sc,0.12,no,5.8,average,online videos,medium,hard,37.3
23,male,bca,3.96,yes,6.7,poor,group study,low,hard,52
19,female,b.tech,2.94,yes,5.4,average,coaching,high,easy,58.9
22,other,bba,6.21,yes,9.7,average,online videos,low,easy,65.8
18,other,diploma,5.89,yes,9.5,average,mixed,medium,moderate,67.6
23,male,diploma,05.02,yes,5.5,poor,coaching,high,hard,99.3
22,other,b.com,0.6,yes,6.7,good,online videos,high,easy,33.6
19,male,bca,1.89,yes,7.6,poor,group study,medium,moderate,35.5
17,other,b.sc,0.75,yes,5.1,average,group study,medium,moderate,42.8
24,male,b.sc,7.83,yes,7.8,good,coaching,high,easy,100
20,male,b.com,01.02,yes,6.5,good,group study,high,easy,50.4
24,other,b.tech,7.74,yes,4.2,good,online videos,high,moderate,74
22,female,b.sc,0.9,yes,5.5,poor,mixed,high,moderate,30.9
23,male,bca,6.9,yes,5.1,poor,mixed,low,moderate,75.9
23,male,bca,4.6,yes,8.9,poor,mixed,low,easy,75.3
18,male,b.com,6.65,yes,7,good,group study,low,hard,88.7
19,male,b.com,05.07,yes,5.1,good,group study,low,moderate,73.6
20,other,b.com,6.15,yes,7.4,poor,self-study,high,moderate,76.8
20,male,b.tech,5.85,no,6.6,average,online videos,low,moderate,64.9
17,male,b.sc,02.08,yes,6.6,good,mixed,high,easy,47.2
21,other,diploma,7.48,yes,5.2,poor,group study,low,hard,78.1
18,other,bba,5.15,yes,7.8,average,mixed,medium,moderate,77.8
22,male,bba,1.62,no,8.9,average,mixed,high,moderate,66.9
22,female,b.sc,2.45,no,6.9,good,self-study,medium,moderate,70.5
24,female,bca,4.26,yes,4.9,average,online videos,medium,moderate,57.2
22,female,b.sc,07.05,yes,5.6,average,mixed,medium,moderate,75.5
19,male,diploma,6.37,yes,5.9,good,self-study,low,easy,62.8
24,other,ba,2.42,yes,9.3,average,online videos,high,moderate,31.7
20,other,b.com,5.51,yes,7.7,good,self-study,low,hard,70.3
19,other,bca,0.08,yes,9.6,poor,mixed,low,moderate,19.599
24,other,b.com,2.66,yes,5.9,average,mixed,low,moderate,54
19,male,b.sc,6.72,yes,9.2,good,self-study,high,moderate,61
17,female,bba,1.21,yes,8.8,average,online videos,medium,moderate,35.1
20,other,bca,2.83,yes,9.7,good,mixed,low,easy,57.5
23,female,bba,0.08,no,5.5,good,coaching,high,easy,26.4
18,other,ba,0.19,yes,9.7,poor,self-study,high,moderate,45.3
20,female,b.com,1.17,no,8,good,online videos,high,easy,46.9
18,other,b.com,0.81,yes,8.4,poor,self-study,medium,hard,37.1
22,other,diploma,3.92,yes,5.1,average,mixed,high,moderate,54
20,female,b.com,7.2,yes,5.3,poor,mixed,low,moderate,78.8
19,other,diploma,0.68,yes,9.9,poor,mixed,low,moderate,49.9
18,female,b.sc,6.96,yes,8.7,poor,online videos,low,hard,76.9
21,male,b.sc,5.35,yes,9.3,average,online videos,high,moderate,54.4
22,female,b.com,1.35,yes,5.6,poor,coaching,medium,moderate,28.3
24,other,b.tech,2.32,yes,7,good,self-study,medium,moderate,53.1
20,male,diploma,1.55,yes,7.2,good,mixed,high,moderate,75.6
18,male,b.com,6.31,no,5.6,average,group study,low,hard,57.5
23,female,b.tech,5.8,yes,4.9,average,mixed,high,moderate,59.8
22,female,bba,2.44,yes,5.1,good,group study,medium,easy,51.3
22,female,diploma,0.43,yes,5.9,average,self-study,low,moderate,23.9
17,female,diploma,1.35,yes,6.5,poor,group study,high,moderate,48.1
19,female,b.tech,05.04,yes,4.1,average,self-study,high,easy,65.3
23,male,bca,0.72,yes,6.9,good,online videos,low,moderate,56.6
23,male,b.com,4.29,yes,7.2,good,coaching,high,easy,79.5
20,other,bca,4.9,yes,6.9,poor,self-study,high,easy,79.9
23,female,bba,5.5,no,7.6,average,self-study,low,hard,65.8
23,other,bca,1,yes,4.5,good,self-study,high,moderate,61.1
20,female,bca,3.68,yes,9.3,good,online videos,low,easy,65.8
24,male,diploma,3.71,no,5.4,average,online videos,low,easy,49
19,female,b.sc,6.68,yes,6.6,average,group study,high,moderate,66.3
18,other,bca,3.75,yes,9.1,good,mixed,high,moderate,63.9
22,other,b.tech,3.25,yes,8.3,poor,coaching,high,easy,49.5
22,male,diploma,0.99,yes,8.3,poor,online videos,medium,moderate,40
18,other,bba,5.56,yes,8.8,poor,mixed,medium,easy,78.7
23,female,b.sc,4.96,yes,9.8,good,self-study,medium,easy,61.4
18,male,b.com,5.74,no,4.2,poor,online videos,high,moderate,69.6
23,female,diploma,5.25,yes,9.9,poor,coaching,low,moderate,71.9
17,male,bba,7,yes,9.6,poor,group study,medium,moderate,88.5
23,male,b.sc,07.02,yes,4.9,good,online videos,low,moderate,63.8
23,other,bca,2.46,yes,5.8,poor,mixed,low,hard,37.1
23,other,bca,1.46,yes,8,poor,mixed,high,hard,51.1
22,female,b.tech,7.41,yes,9.3,average,coaching,low,hard,91.3
20,other,b.sc,5.7,yes,7.3,poor,coaching,high,moderate,95.2
22,other,bca,7.77,yes,7.1,poor,group study,low,easy,74.3
19,female,b.com,3.98,no,4.7,good,mixed,high,easy,64
23,male,b.tech,7.7,yes,8.3,average,mixed,high,moderate,79.6
21,female,bba,0.98,yes,7,good,coaching,low,easy,51.8
20,male,diploma,4.72,yes,4.6,good,self-study,low,moderate,74.4
21,other,ba,3.97,yes,9.5,good,group study,high,easy,69.9
21,female,diploma,0.08,yes,5.4,poor,coaching,high,moderate,26.5
17,other,b.tech,1.54,yes,7.2,average,mixed,medium,moderate,45.5
18,other,bba,1.23,yes,9,poor,mixed,medium,easy,57
18,female,bba,0.49,yes,8,good,self-study,medium,easy,52.8
17,other,diploma,7.59,yes,5.4,average,mixed,medium,moderate,93.1
20,other,ba,7.72,yes,9.9,good,group study,medium,moderate,100
22,other,bca,7.13,yes,4.6,poor,self-study,medium,moderate,81.6
22,male,b.sc,7.91,yes,8.8,poor,mixed,high,moderate,100
20,female,b.tech,6.65,yes,6.8,average,mixed,low,moderate,100
23,other,bca,7.46,yes,4.4,poor,mixed,medium,moderate,76.9
21,other,b.tech,1.58,yes,5.5,good,group study,low,hard,51.9
17,female,diploma,02.06,yes,4.5,good,coaching,low,moderate,51
23,male,b.tech,6.9,yes,5.2,average,online videos,high,hard,71.1
21,male,bba,3.84,yes,9.3,good,online videos,low,moderate,86.9
22,female,ba,5.74,yes,5.8,poor,self-study,high,moderate,67.4
21,female,bba,4.5,yes,7.7,good,mixed,low,moderate,76.3
21,other,bba,2.45,yes,5.2,poor,self-study,high,easy,40.7
17,male,ba,2.28,yes,5.5,poor,self-study,medium,moderate,19.599
21,female,ba,5.99,yes,6.1,good,group study,medium,hard,71.9
23,male,ba,4.26,yes,9.7,average,online videos,medium,moderate,56.6
19,other,bba,2.88,yes,5.3,average,coaching,low,moderate,64.9
21,male,bba,4.94,yes,7.9,poor,mixed,low,easy,65.6
17,male,ba,3.36,no,6.2,poor,mixed,medium,moderate,49
19,male,b.com,3.8,yes,4.9,good,self-study,low,easy,53.7
20,male,b.tech,5.42,yes,7.3,good,mixed,low,moderate,72.2
24,female,bca,3.66,no,6.2,good,online videos,high,easy,65.4
18,female,b.sc,7.6,yes,9.2,good,self-study,low,moderate,83.3
19,female,ba,3.88,no,9.6,poor,self-study,medium,easy,41.8
